date,key_rate,usd_rub,oil_price
1999-01-01,60.0,20.248357076505616,12.074585927939216
1999-01-04,60.0,19.93086784941441,9.843366909388092
1999-01-05,60.0,20.323844269050348,16.46594547238385
1999-01-06,60.0,20.76151492820401,10.312340948728412
1999-01-07,60.0,19.882923312638333,13.905543466337585
1999-01-08,60.0,19.88293152152541,13.191710401542585
1999-01-11,60.0,20.789606407753695,10.389260816114641
1999-01-12,60.0,20.383717364576455,12.926518278308688
1999-01-13,60.0,19.765262807032524,10.318831668438568
1999-01-14,60.0,20.271280021792982,12.141700338269008
1999-01-15,60.0,19.76829115359377,13.648120879860215
1999-01-18,60.0,19.76713512321487,10.88356398722336
1999-01-19,60.0,20.120981135783016,12.822961472973429
1999-01-20,60.0,19.0433598776711,10.847975940362202
1999-01-21,60.0,19.137541083743482,12.351283202723298
1999-01-22,60.0,19.718856235379512,12.212275011406506
1999-01-25,60.0,19.493584439832787,11.26672299843662
1999-01-26,60.0,20.157123666297636,8.337350461602076
1999-01-27,60.0,19.545987962239394,13.561780942098016
1999-01-28,60.0,19.293848149332355,15.980952164641206
1999-01-29,60.0,20.732824384460777,12.279223813131768
1999-02-01,60.0,19.88711184975673,10.773922760064712
1999-02-02,60.0,20.033764102343962,12.416184366873118
1999-02-03,60.0,19.287625906893272,14.292053220738794
1999-02-04,60.0,19.727808637737407,14.559086593911093
1999-02-05,60.0,20.055461294854933,13.823372247320933
1999-02-08,60.0,19.424503211288847,12.890359986730532
1999-02-09,60.0,20.187849009172837,13.350601851269158
1999-02-10,60.0,19.6996806550406,12.236571199331253
1999-02-11,60.0,19.854153125103362,10.087927477581179
1999-02-12,60.0,19.6991466938853,11.242898470393786
1999-02-15,60.0,20.92613909225447,11.354157002022724
1999-02-16,60.0,19.993251387631034,12.585113314270282
1999-02-17,60.0,19.47114453552205,8.472025330550107
1999-02-18,60.0,20.411272456051595,13.022075372489226
1999-02-19,60.0,19.38957817501449,7.974075885512073
1999-02-22,60.0,20.10443179750238,12.822669243785853
1999-02-23,60.0,19.020164938060113,14.339691833399524
1999-02-24,60.0,19.335906975550785,13.789679101266188
1999-02-25,60.0,20.09843061793456,10.208586637299868
1999-02-26,60.0,20.369233289997705,13.24720698200767
1999-03-01,60.0,20.085684140594985,13.408711616038616
1999-03-02,60.0,19.94217585880588,15.411551955091921
1999-03-03,60.0,19.849448152205355,12.731427279086157
1999-03-04,60.0,19.260739004816287,14.052238308300401
1999-03-05,60.0,19.640077895802644,11.125747802393002
1999-03-08,60.0,19.769680614520105,10.295872502051953
1999-03-09,60.0,20.528561113109458,13.728517008890291
1999-03-10,60.0,20.17180914478423,13.75629210138456
1999-03-11,60.0,19.118479922318635,10.729044426229995
1999-03-12,60.0,20.162041984697396,9.576334344041017
1999-03-15,60.0,19.807458859791844,12.246487151336696
1999-03-16,60.0,19.66153899984702,12.087555365529619
1999-03-17,60.0,20.305838144420434,12.467750673645925
1999-03-18,60.0,20.515499761247977,13.771658158738205
1999-03-19,60.0,20.465640059558098,14.057721985587541
1999-03-22,60.0,19.580391238388682,12.015704952785255
1999-03-23,60.0,19.84539381207439,10.009402861276307
1999-03-24,60.0,20.16563171570178,10.548640778203467
1999-03-25,60.0,20.48777256356118,10.806650700784754
1999-03-26,60.0,19.760412881077354,11.759678339780587
1999-03-29,60.0,19.90717051166809,10.970865327390282
1999-03-30,60.0,19.446832512996984,11.5104779471074
1999-03-31,60.0,19.401896687959663,12.147608008533151
1999-04-01,60.0,20.4062629111971,10.713847582856435
1999-04-02,60.0,20.678120014285412,12.643988786123636
1999-04-05,60.0,19.963994939209833,15.655291517679842
1999-04-06,60.0,20.50176644894601,11.666549179488907
1999-04-07,60.0,20.18081801252382,10.63667103633721
1999-04-08,60.0,19.677440122697437,12.613360823338446
1999-04-09,60.0,20.180697802754207,10.40982705720779
1999-04-12,60.0,20.769018283232985,11.705382023690834
1999-04-13,60.0,19.982086980445025,10.64310902579792
1999-04-14,60.0,20.782321827907005,9.860304560304925
1999-04-15,60.0,18.690127447955128,10.242838928728982
1999-04-16,60.0,20.410951252187612,10.67837842477036
1999-04-19,60.0,20.043523534119085,9.916563549968108
1999-04-20,60.0,19.850496324767064,14.557627614685078
1999-04-21,60.0,20.04588038826775,12.862747549034632
1999-04-22,60.0,19.006215542699554,13.883624621435278
1999-04-23,60.0,19.890164056081243,9.283340799878081
1999-04-26,60.0,20.178556285755874,11.412118119244989
1999-04-27,60.0,20.73894702237076,12.838362973333494
1999-04-28,60.0,19.740864890863175,15.305418777258513
1999-04-29,60.0,19.595753198553407,10.494576231880458
1999-04-30,60.0,19.74912147820773,9.427392172905241
1999-05-03,60.0,20.457701058851036,12.381250859123783
1999-05-04,60.0,20.164375554829842,10.652500516964002
1999-05-05,60.0,19.73511989811648,15.411625202987558
1999-05-06,60.0,20.256633716556678,13.084027764728244
1999-05-07,60.0,20.04853877467402,11.428638049241332
1999-05-10,60.0,20.484322495266444,11.434444020154519
1999-05-11,60.0,19.648973453061323,11.74676444246574
1999-05-12,60.0,19.836168926701117,8.350639329333433
